,H3-H4-1 angle,DNA H3-H4-1 angle,DNA H3-H4-1 torsion
0.0,143.5090452560092,134.8371909019005,-29.745408884123616
1000.0,140.81622639425123,133.00608678873294,-13.656725159176796
2000.0,141.12858572993795,133.8373776304486,-13.17201461234635
3000.0,140.7301641570475,129.56078068247908,-19.462010011823452
4000.0,141.15888059607104,128.4658213617023,-2.764256635421234
5000.0,140.4627214185093,127.35029575699971,-19.81001390570437
6000.0,140.91763605865467,128.09954821127545,-14.057930189765116
7000.0,138.89403723867497,127.76449608567238,-17.02136476289235
8000.0,138.02168142468346,126.19362005674634,-19.112479242444877
9000.0,140.82345235927235,127.96485065357776,-12.084394381105326
10000.0,143.14155902654196,126.86250445065419,-9.441490229122438
11000.0,142.86678817334976,127.86213866673606,-21.460775056611222
12000.0,139.2892120647054,127.20659988278094,-24.581981127530515
13000.0,137.7591067468674,125.57610444436101,-11.451980487204642
14000.0,142.06747658157124,130.50722004978465,-19.916300021927814
15000.0,141.6069131498318,128.81170148472384,-4.471053573007984
16000.0,143.44880360701515,129.348524875484,-3.1751111530108647
17000.0,140.96440115444864,128.25556553764434,-15.724983093353709
18000.0,141.15289385996726,129.40716627678273,-18.057536360135405
19000.0,141.71686848804347,128.2141386196272,-32.82538582403432
20000.0,141.90838656043397,127.82882886670401,-31.479295367517018
21000.0,141.7028786575392,127.36217318935911,-10.803179334161793
22000.0,139.36082004865617,127.75248852200366,-14.18208495298494
23000.0,141.4450229446066,130.22406446316893,-16.640647705937976
24000.0,142.4613228719926,129.52694305886735,-24.084378824211253
25000.0,142.1679914211601,129.4443461857256,-18.02684406942922
26000.0,141.96454591054422,127.52594704869125,-27.68701691535423
27000.0,141.01171344145436,129.87947148979129,-16.09871818809804
28000.0,143.51835866871107,126.37438048199805,-26.43255803119864
29000.0,143.3478049314735,128.4933447009941,-33.97827016459135
30000.0,143.16603340378583,127.91380868180077,-7.059892985853498
31000.0,141.2137473067315,128.990436508785,-31.934882079755415
32000.0,142.96136527084855,125.76588940109659,-36.53929486486518
33000.0,142.17739880413893,129.79393915687652,-33.60703860193864
34000.0,141.1726356497855,127.96082011420317,-24.14762521596274
35000.0,141.7482039805861,127.1114825491778,-14.088143767431651
36000.0,142.78715924395968,128.08521540556143,-22.209871851720518
37000.0,142.2427983781133,129.47825125916626,0.07532826853689845
38000.0,144.49601945131843,129.82017717985363,-16.037482744873017
39000.0,141.6994019513616,129.68262049119681,-21.279985327399856
40000.0,141.19959373054763,127.39375447575053,-34.927409450902786
41000.0,139.9823454350007,126.80583980782004,-14.350897253493645
42000.0,142.04056930512942,126.06915456556317,-15.013234961609392
43000.0,140.84550400616996,128.3582507903909,-17.78221681523469
44000.0,141.0926720049136,131.78773362361164,-17.75718323079639
45000.0,141.79907527517514,130.8487315059675,-6.029414953709559
46000.0,140.4429885181651,129.12572185459157,-10.115259281254525
47000.0,142.22562712309423,130.55206177078318,-1.0620940719667775
48000.0,143.45274145613172,128.99792736781367,-6.963395803558201
49000.0,142.80595986373808,126.01723056311913,4.577870285554927
50000.0,141.87549147612413,122.28013183479644,14.99001586434389
51000.0,143.32037127067713,124.68030332165878,7.193587744557856
52000.0,141.1008081966255,126.78464491221064,17.85252933967466
53000.0,142.19576000509784,126.44005054898126,6.185228687438487
54000.0,140.59149512616014,129.31532681317137,6.91657528593917
55000.0,143.4032068424296,128.4492521824084,-5.303437362303104
56000.0,142.75863901261545,125.90732909545333,-8.963301332554318
57000.0,143.4698683749375,126.56098845654255,-5.213995773891451
58000.0,143.20798261594067,123.74541257102469,14.90384637024934
59000.0,141.81150748771765,125.44511086838845,11.56450569960722
60000.0,145.51683629124142,125.67443420354223,8.05268009842607
61000.0,141.56594849480996,123.95514676042474,6.46280594458913
62000.0,144.0027915182302,125.40179489499484,-6.470256905190716
63000.0,144.2126681405804,127.0419458040654,3.030566505209779
64000.0,141.4394761421935,123.94378305818114,-4.16679746150465
65000.0,141.0170508794158,125.1026677494986,26.35717030014196
66000.0,141.9120261077821,120.74655221668648,14.090135304717828
67000.0,143.3059504152884,125.5680724029555,13.382652149447845
68000.0,143.11511289531526,126.76981099650031,7.436574037335542
69000.0,143.84982845164382,124.52608460975297,22.102514683888458
70000.0,145.32926913968387,126.42316987499518,14.733149245943581
71000.0,142.67364560578054,124.0433324616544,17.026120167833252
72000.0,142.04268894236466,122.43839433750937,-3.881115981881399
73000.0,142.51477128155645,119.71872052482598,-1.9312497486935496
74000.0,141.6765186714429,118.24137625283481,6.953077236865472
75000.0,142.49791848370984,119.79066878839961,0.18442169257547403
76000.0,142.5252911605263,123.93100377039944,21.53369256887369
77000.0,141.82865872300573,120.49765466229535,-6.781596170545691
78000.0,140.49500851110062,121.36726155366176,9.759038056569281
79000.0,142.940526284663,124.97853191594699,6.835190377942296
80000.0,141.6310498515017,124.71304444948238,16.700578115234503
81000.0,142.14317366550347,125.49315750564382,1.5066449698413005
82000.0,141.79860607307393,123.6808736583135,3.2707152686320686
83000.0,143.88774012974324,125.2468649531696,-6.871391249589671
84000.0,142.960710327701,124.70915546737821,7.189213693245158
85000.0,140.9647263357197,122.97936257162708,-6.31239317781046
86000.0,142.3701721814737,123.20621880712338,8.384754979176444
87000.0,142.39162076733743,125.51795614853859,7.818533283376598
88000.0,141.57826165433806,125.2046671125233,2.152822813530093
89000.0,143.29462359751363,124.40734336072167,0.3572327991525948
90000.0,141.78387934637163,125.03226671991673,7.232407326910221
91000.0,142.44494614489832,123.13632750980025,4.4664719532892345
92000.0,141.77249885254514,123.11199420987401,6.206318699931255
93000.0,144.39029643543145,126.05251005474777,4.802448990101298
94000.0,140.07594311446255,122.53768356947573,20.693498161104888
95000.0,142.62633896260286,124.74461736888456,17.815219367923042
96000.0,143.28792440951676,125.07132585698375,4.202179621827885
97000.0,142.95677441859084,124.20629316205982,8.285058421084926
98000.0,143.34414284837018,124.93206067479812,7.768154149454625
99000.0,143.10504403405258,123.14615755800956,5.293721764683321
100000.0,143.58132144488013,124.32016219129538,5.686999669580473
101000.0,142.16628096678215,124.93701090278398,-16.637779772866978
102000.0,144.3811113321574,125.88972089722373,-1.3527780154965907
103000.0,144.40350832784787,126.26374275627813,-0.9835720926491052
104000.0,145.10337654455162,125.28675076047385,-2.632997738344544
105000.0,144.33698187882544,125.37646986198742,-9.860081428330112
106000.0,146.92809394301375,125.0103767191717,0.06512742854080786
107000.0,146.3802027830839,124.93697820875542,-7.160203962489733
108000.0,143.120669828954,124.59517700807272,12.150287105364383
109000.0,143.22133076380632,123.56938624437936,9.027691306154106
110000.0,144.06414364014273,125.9239454136645,6.745315993695068
111000.0,143.3157290806758,122.90523583834867,20.588662804660988
112000.0,144.24060546234833,125.75953339675725,9.12449318894174
113000.0,143.76896534044232,123.33088106032437,6.313408660843475
114000.0,142.65490994654465,122.19219567990515,3.5770475983755254
115000.0,144.70096357168683,125.24846164692008,6.534397249017957
116000.0,144.225238873019,123.92393926948161,-12.7190043704447
117000.0,143.31708695678415,122.25774832944631,1.810804311756178
118000.0,144.09647633996855,124.02268377603968,-2.2489292830439154
119000.0,143.3437242771127,127.17723628715224,18.975945282827464
120000.0,145.12112669172504,125.56519585899827,22.526154762963273
121000.0,145.49653257022408,127.9095992689273,20.941652569075778
122000.0,142.53375035883704,127.17779336192514,26.87026257623692
123000.0,141.95327318654057,126.23418757634977,9.508100677624693
124000.0,141.5299259535915,131.4799563855131,14.866348272115978
125000.0,144.16174933082095,129.69651881065482,9.757550173798533
126000.0,141.96542877869595,133.48521914219228,28.915219378687045
127000.0,142.8904717615229,124.743986965602,21.25281262588118
128000.0,142.3394710008481,130.7040732543528,16.192786765125614
129000.0,142.79840618244424,132.85318867251715,21.226544581184136
130000.0,142.6579242587627,131.06917539384864,24.466526163592007
131000.0,144.72103044842635,132.9355555970047,29.394811255632675
132000.0,145.00908096872203,131.00804298677915,40.19925817148
133000.0,142.5725473359628,121.9938227174385,22.94502611874749
134000.0,143.8141559461026,129.03459670582924,11.488011147812136
135000.0,142.1498279055492,129.25462379966592,20.151490281073514
136000.0,143.19629139268403,125.41276280760268,23.64024538720215
137000.0,143.3099864460815,128.6087070692063,22.047063562682943
138000.0,142.79430594307152,124.63986392026551,12.202091698958503
139000.0,145.2978109506201,125.22481228321652,13.68032982255407
140000.0,143.52027764960962,122.63495076199074,13.318786588031655
141000.0,143.731392361475,129.3587866104235,17.453791796484815
142000.0,144.98373351824105,127.90539721759335,14.781791816309658
143000.0,144.179349491883,124.93859974991088,14.478452565044016
144000.0,146.131369796322,131.85502340578188,18.782264231855525
145000.0,143.39419207723117,128.5841644563706,29.819114423343205
146000.0,142.80160047193758,128.3470852155738,11.250615872966348
147000.0,145.49187093327788,127.98585351692718,22.3164916265323
148000.0,145.72632249100607,120.41312400539937,12.083196218030837
149000.0,144.39015933606908,125.75782602487399,24.03031456908642
150000.0,142.331713140991,126.92943960766071,16.544928480022328
151000.0,142.58391435760677,127.80767300482472,25.65721762151675
152000.0,143.3917965848592,123.99963066613964,14.102098713585589
