,H3-H4-1 angle,DNA H3-H4-1 angle,DNA H3-H4-1 torsion
93000.0,140.62332637012562,126.37819322161002,8.740985588308993
94000.0,139.30207494050157,121.29576831104194,-15.6013231120751
95000.0,139.52514176125803,122.3453700924081,-20.496112545110435
96000.0,141.14223832083118,118.13814672205797,-13.045144595741364
97000.0,140.70195885904306,119.03495374127543,-18.04905444319848
98000.0,142.151006818534,117.17946278772442,-11.906935422240807
99000.0,139.53124906134707,116.07865519894398,-27.813941601139305
100000.0,140.35448024574964,121.31974134103238,-3.5744972188556314
101000.0,141.1752835314266,121.38593876216858,-15.76008943512099
102000.0,138.88910724319993,119.35430409617176,-8.127539997998827
103000.0,138.1823868210604,122.40300017772753,-0.7102126768431196
104000.0,141.03221741784643,119.30008232837538,-8.991020298175243
105000.0,140.4813653211132,123.70630074345345,-17.00347721610112
106000.0,141.30278200090072,120.05579398595502,-1.904058097188642
107000.0,142.75078021824646,120.14907654117539,-19.08236639729909
108000.0,140.1021067118993,120.55144994082421,-17.181908379144648
109000.0,140.39894212781448,120.00841477262335,-15.5577763227732
110000.0,139.53721345121738,112.34455566329673,-5.457638841997224
111000.0,143.1431989989098,119.48855863202058,-24.572882450177342
112000.0,141.80409854462894,120.27636455846367,-17.192195091526965
113000.0,143.93657363752124,118.55251474625221,-22.348136121152127
114000.0,140.51177569528068,118.94499994024952,-12.06850059710472
115000.0,138.60298399911184,113.43772041517413,-15.233131392217942
116000.0,139.95724918640835,117.34891334102241,-14.720599145383199
117000.0,138.76061999434197,115.65641859264679,-19.561217446959915
118000.0,141.37893123431638,120.98097061554944,-14.335611385856529
119000.0,141.2859000336621,117.24331279124873,-18.201115827902484
120000.0,138.49455786033425,117.33797337694598,-4.527381356879347
121000.0,139.1546168654586,117.9343883171274,-15.636255847357324
122000.0,138.3752087724857,119.04822492323014,-24.257178556271544
123000.0,139.37047441832937,119.90611719271132,-14.952093371420455
124000.0,140.11863601058587,121.27634829580451,-23.235069465719516
125000.0,141.51109331262785,124.11088229208826,-31.142710341806936
126000.0,141.31154778085283,114.73956239412554,-9.876515008451173
127000.0,140.11218914920954,120.39386165100836,-28.939621949929005
128000.0,139.12579938538877,119.08481566092524,-13.661186549816357
129000.0,137.38306715359073,119.37137442033323,-8.655168351801134
130000.0,140.23116866203173,116.16154022927536,-15.952103340610888
131000.0,138.58485061142707,117.06088497732634,-4.223791041935211
132000.0,138.36192309675081,117.73370999836605,-19.276501987185362
133000.0,139.50563564845996,118.06095959008975,-17.36112679072815
134000.0,138.7347200044505,116.71319375827639,-11.129745007455881
135000.0,140.16274330147695,121.40004305435635,-1.401236893627315
136000.0,139.76557659662097,123.43969457230183,-16.095897904158377
137000.0,139.83793204144789,121.88408365773516,-19.964090051072944
138000.0,139.96923923881658,119.2594667911075,-8.49204730024327
139000.0,138.22413646552405,124.14728992524206,-3.9387271132219657
140000.0,140.21487546583674,124.18156164317723,-20.679574596272012
141000.0,139.37585851898953,123.76935273662939,-8.447068226087938
142000.0,140.5932504729211,123.70151822824168,-24.24197731004248
143000.0,141.7962444839303,127.78066115512698,-29.360325264126537
144000.0,139.7072668986363,123.45234428751307,-8.959540957618037
145000.0,138.79799931192224,124.41087237842818,-8.792639171634507
146000.0,141.0775430492598,127.13277169876206,-20.794715842290035
147000.0,140.11212792054144,125.17555232365285,-9.55591141137886
148000.0,137.54012653625819,120.55792458754651,4.7960488085541675
149000.0,139.17509366582473,124.87004951198456,-0.003463295916792258
150000.0,138.06111861400248,124.7159421217531,-4.573451184659936
151000.0,137.9563674955116,120.7965854035453,-9.495709596705403
152000.0,140.80174706406888,131.1191074483793,-32.622489272899614
153000.0,136.86486796862957,124.77935094322466,-11.281051667304784
154000.0,139.71322868014215,123.55242609878144,-8.154704879211094
155000.0,139.98238281731224,124.95890672779635,-14.778926434615803
156000.0,136.96036101969128,127.68807609837049,-7.864024456776904
157000.0,139.4339431856873,123.42287407523867,-11.953185341538973
158000.0,138.9801766462449,124.98183195691962,-6.775997768127139
159000.0,137.79649191143164,123.11603925297806,4.387012607178505
160000.0,138.99175331090424,120.95070079142279,0.0716424710136457
161000.0,137.58244752237724,121.01749400128791,2.0896298444267147
162000.0,138.7571133205667,117.73338895444982,-2.7867156965356314
163000.0,138.21403351453603,122.64666566376239,-14.946315952839628
164000.0,139.63248333417013,127.39450566781689,-11.111028656145631
165000.0,138.19333433660447,123.68802083610154,-8.30292873524586
166000.0,140.13048282156544,122.06780321564288,-5.347819949622415
167000.0,140.91504652665503,128.60180466831517,-10.137306228456834
168000.0,141.4300304066449,130.05739494546035,-12.64414771882637
169000.0,139.85110129824716,124.16722742176475,-2.33376794935988
170000.0,138.78009353741786,122.69999122594687,1.7272041059120626
171000.0,140.9610536877558,127.27457815230672,-10.421039617001655
172000.0,141.88459403780124,126.08599917217447,-10.142233656971074
173000.0,138.73586559402764,125.18573848132549,-6.5778539222899015
174000.0,141.37949573712882,126.81149903197668,-13.260371564123243
175000.0,140.9249204664904,126.96649927667629,-14.492350759928353
176000.0,140.2612553203333,123.47578466999403,-10.254196682795017
177000.0,138.11880343874796,117.4284266154914,4.473761563241485
178000.0,139.75666837091302,118.3686102192142,1.1292134893703958
179000.0,138.48359140761116,120.6000287097231,-4.749860744299655
180000.0,137.31212514821394,122.9380841492882,-8.353361446900065
181000.0,139.44847713981753,122.49743023676017,-7.038520858647956
182000.0,140.2788688590391,121.80513418333274,-2.1259865088862626
183000.0,139.61545304020183,118.54950155673731,-1.2334703465597006
184000.0,137.53540683466804,114.35722869944782,-10.232629825272905
185000.0,138.10999597172284,116.12199772336301,-15.027173650900352
186000.0,140.8346857998029,119.15822849665247,-24.742486817314425
187000.0,140.60534071501462,123.85716069954094,-10.250559512892094
188000.0,139.11293878648974,123.53624088065153,-1.381214363132133
189000.0,141.4517560397276,120.71355692258933,-10.813519786884267
190000.0,139.20332866904752,122.02601237160542,-5.612206487411216
191000.0,141.11103268161008,121.73949372303618,-4.799938499296294
192000.0,139.30023281617267,119.99590164535083,-14.76739785471958
193000.0,138.24727363938678,119.97410675188887,-24.284000669963405
194000.0,140.59570688430668,122.3895047584623,-29.762220031311543
195000.0,140.5675538005148,121.11828507395562,-8.831253394017454
196000.0,140.43672670082876,119.79402627642516,-2.05935148726514
197000.0,136.53729032145725,117.74574436350694,-7.720461764523639
198000.0,137.54929349638465,118.45461289258628,-9.215023045782877
199000.0,137.56137599139896,117.50570935104466,-22.544468834328622
200000.0,138.2872627966624,120.21112888914496,-10.083671289693282
201000.0,139.2673108623925,121.55549289223991,-26.705527488276942
202000.0,139.73136171330253,119.78072778590425,-12.054024513782455
203000.0,138.79258544371365,118.74771740176037,-2.4159292992330994
204000.0,138.16641543947426,115.55577256258266,-3.7869549257138044
205000.0,138.2163045053409,117.4380214315549,-16.272777948950242
206000.0,139.5349638528747,116.40417181151615,-15.39014048372839
207000.0,139.9025029372479,115.38472485203285,-9.400907711688143
208000.0,141.14614167619007,117.52600677938342,-10.53692453319839
209000.0,138.2683984810923,117.22427671659091,-12.061675449718022
210000.0,139.814911199225,118.50215138801101,-13.28661577432659
211000.0,139.5928069313098,120.965876027653,-14.70907054938105
212000.0,139.49207580718056,117.30526713544343,-17.563949324740207
213000.0,140.1328970403031,120.48007175524857,-11.756470986139465
214000.0,140.8671542158446,121.59492535426502,-22.412076316640796
215000.0,141.41141605960647,122.1431307336562,-1.1229667944576232
216000.0,139.0213871840739,117.94393766215845,-12.089471145895153
217000.0,139.33977354571368,120.10061523054095,-10.66804683442933
218000.0,138.15288369105284,116.00215859045407,-7.759640518772389
219000.0,139.27578821242017,120.85275478729216,-10.347280445907849
220000.0,140.9742787726712,120.5313480217754,-20.022533840542096
221000.0,137.94232400761356,118.15322090961448,-6.917315007577971
222000.0,141.35336447567377,122.15824191768036,-8.641039939902146
223000.0,142.21382110266381,120.72077084073051,-34.58234159920436
224000.0,142.3063615182085,120.82111519505062,-16.236201429703694
225000.0,138.52757258388675,119.44847815700629,-11.674761660985267
226000.0,141.05339991340875,118.96384021362216,-21.164110768190596
227000.0,141.13118235577053,121.96831247018937,-28.716961641423794
228000.0,141.1418012240702,121.64146317787417,-21.47856237689459
229000.0,140.40059576195628,119.35502354861102,-10.023296928942466
230000.0,140.8725951467958,119.31423800417032,-23.93721408468811
231000.0,139.5791432998947,118.39775755214032,-24.88436102688131
232000.0,139.45919882013422,120.6820853786427,-12.44386394075935
233000.0,138.23958554663943,118.46422775416163,-2.3982344389885264
234000.0,139.71925339378572,119.70902390989758,-13.886796225132398
235000.0,139.7380864030303,118.26990427204332,-9.881413267873427
236000.0,140.54682157264213,115.49677233002937,-10.067101498884616
237000.0,141.6022413391873,118.68450758270286,-18.660134124860107
238000.0,138.004019950807,116.15315667907437,-12.275115314913148
239000.0,141.78081838558847,120.24776800633842,-18.727075063956548
240000.0,138.19781068403162,120.40471133200593,-31.318933854881614
241000.0,141.5696295008218,121.93423705359032,-17.331787109058304
242000.0,141.4299419233031,121.99687560862245,-23.93593719272015
243000.0,142.71053928652015,120.89803196868819,-23.56875210270503
244000.0,140.5686328459044,119.65902918046108,-21.51903348893014
245000.0,140.88291948066092,122.07661274423074,-22.419730966838458
246000.0,139.75172905358244,120.59862948815645,-27.308221103750398
247000.0,140.15219741534037,119.60234809399243,-19.24262027885448
248000.0,140.12857961365435,120.33072389397408,-26.6212525892283
249000.0,139.51316318598663,118.46544010345976,2.676729628383796
250000.0,143.1700688297609,122.2607283790583,-13.37933499182677
251000.0,139.00157343408716,120.02170340172212,-21.344249749934068
252000.0,139.21657738839994,119.99101345221149,-4.30234596180104
253000.0,140.58139509324664,119.43856971996266,-23.162480112562495
254000.0,139.76691767325974,122.51029596641341,-12.913171176482493
255000.0,138.87411395968016,118.85957501235268,-9.559836379760943
256000.0,139.89720093038835,121.84573155280842,-1.001783717309827
257000.0,138.0729645892006,117.87584229483426,-4.454446294428103
258000.0,138.4237551208114,120.89975674573414,-18.410120651948517
259000.0,139.16688575763294,121.90492665453901,-5.523773449076769
260000.0,141.63028784880802,119.47227336942822,-12.083667179078246
261000.0,142.72611696529307,118.45760484872713,-22.308800931885937
262000.0,140.9925335274117,119.22094562341293,-6.171850994613516
263000.0,138.57127020061557,119.72075127241182,-20.283288990415176
264000.0,139.65371294413853,119.92728139169921,-9.292635292113196
265000.0,140.68602813090462,118.61777293185315,-26.452536129754783
266000.0,140.26844202444263,117.13675710155253,-36.836188671101816
267000.0,139.34077253120708,114.35183975779466,-2.708969405326501
268000.0,140.29679973457894,119.19971178099428,-14.570101497182092
269000.0,142.39814100341113,120.22026141093714,-23.588054040317495
270000.0,141.9754813712992,123.81404634296598,-21.05929525545045
271000.0,140.10916414013647,118.62326988657473,-29.5201975951203
272000.0,139.70268707514956,121.5372828930488,-2.0917249682688914
273000.0,141.53956494680716,120.7540056202497,-17.730696723798648
274000.0,140.64048866731568,123.37014357812303,-23.19345673918891
275000.0,141.48791030298148,116.85987846106242,-22.768224055970638
276000.0,142.1490139942819,124.14769357913514,-13.109411755336183
277000.0,138.59594428527947,116.8756840421117,-10.14695264889797
278000.0,142.22332337165494,121.12086797910897,-6.7947349860020285
279000.0,140.77744783465127,122.39166028420856,-21.443550138827835
280000.0,140.46362373554592,121.55989353504266,-24.4732576208155
281000.0,140.70543605447645,122.82876344499603,-8.526261066173378
282000.0,137.94784839889437,121.54650919094476,-16.524775852961575
283000.0,140.36349937618752,120.49454544283842,-2.1676355296737193
284000.0,139.56998621602548,118.26966298132244,-9.818059186051808
285000.0,141.35727260507534,119.7303693160854,-28.546838343809753
286000.0,140.33745222005822,121.61664151879393,-20.12463826095453
287000.0,140.818690782389,122.18675155712118,-11.5290639676598
288000.0,138.8187951601099,122.39998539082468,-7.089492101134438
289000.0,142.33528055043814,124.16251294403756,-26.039606877361095
290000.0,140.46357326688246,122.61467220617344,-22.08508633722488
291000.0,140.58119943832733,120.7337055796243,-15.326358290601204
292000.0,140.37870836997993,123.64687983088848,-19.199333725168607
